_x         _y     pmRApmDEcor   PlxpmRAcor   PlxpmDEcor   Nper   RA_ICRS     e_RA_ICRS      DE_ICRS   e_DE_ICRS               Source           Plx     e_Plx         pmRA   e_pmRA         pmDE   e_pmDE        RUWE         Gmag       e_Gmag        BPmag      e_BPmag        RPmag      e_RPmag         BPRP      RVDR2  e_RVDR2  E(BP/RP)          RFG         RFBP         RFRP           nueff         pscol       ELAT            Solved          Pmemb      
-1.6389   -0.1899   -0.1444   -0.0145    0.0927   23    96.58030458597    0.0570   -10.06465456040    0.0577   1111111111111111111       0.3077   0.0619      -0.369   0.064       0.493   0.055      1.000   16.718017    0.000226   17.259446    0.006583   16.140965    0.004794   258.523222      9.99    9.99    1.333    1656.197     258.523     481.708    1.3780440    1.3044540   -33.32212830663   31   1.00 
-0.5321    1.2862    0.0217   -0.0434    0.0863   23    96.59904167103    0.0570   -10.04005404152    0.0577   1111111111111111111       0.3213   0.0573      -0.169   0.059       0.517   0.051      1.000   16.567847    0.000209   17.098465    0.005796   16.000654    0.004316   258.523222      9.99    9.99    1.333    1656.197     258.523     481.708    1.3780440    1.3044540   -33.32212830663   31   1.00 
-1.1996   -0.6201   -0.1195   -0.0214   -0.0167   23    96.58774113886    0.0570   -10.07182461302    0.0577   1111111111111111111       0.3015   0.0570      -0.382   0.059       0.554   0.051      1.000   16.559225    0.000209   17.089222    0.005754   15.992597    0.004291   258.523222      9.99    9.99    1.333    1656.197     258.523     481.708    1.3780440    1.3044540   -33.32212830663   31   1.00 
 0.1165   -1.1352   -0.0855    0.1556    0.1677   23    96.61001926215    0.0570   -10.08041102866    0.0577   1111111111111111111       0.3588   0.0482      -0.270   0.050       0.718   0.043      1.000   16.227354    0.000177   16.733777    0.004378   15.684253    0.003429   258.523222      9.99    9.99    1.333    1656.197     258.523     481.708    1.3780440    1.3044540   -33.32212830663   31   1.00 
-1.5400    1.1580   -0.0519   -0.0096    0.1843   23    96.58198200406    0.0570   -10.04219145886    0.0577   1111111111111111111       0.3910   0.0749      -0.380   0.077       0.607   0.067      1.000   17.070219    0.000272   17.640678    0.008971   16.467613    0.006163   258.523222      9.99    9.99    1.333    1656.197     258.523     481.708    1.3780440    1.3044540   -33.32212830663   31   1.00 
-1.2624    2.8182   -0.0168    0.0317    0.1456   23    96.58668228793    0.0570   -10.01452347919    0.0577   1111111111111111111       0.2550   0.0241      -0.437   0.025       0.622   0.021      1.000   14.766485    0.000088   15.296341    0.001654   14.201727    0.001335   258.523222      9.99    9.99    1.333    1656.197     258.523     481.708    1.3780440    1.3044540   -33.32212830663   31   1.00 
 0.8117   -2.1156    0.0380   -0.0634    0.0750   23    96.62178810342    0.0570   -10.09675219621    0.0577   1111111111111111111       0.2245   0.0760      -0.428   0.078       0.491   0.068      1.000   17.098010    0.000276   17.721211    0.009578   16.451221    0.006068   258.523222      9.99    9.99    1.333    1656.197     258.523     481.708    1.3780440    1.3044540   -33.32212830663   31   1.00 
-0.2346    0.9573   -0.1334    0.0481    0.2672   23    96.60407706137    0.0570   -10.04553526023    0.0577   1111111111111111111       0.2720   0.0442      -0.085   0.046       0.484   0.039      1.000   16.054697    0.000162   16.548727    0.003818   15.523095    0.003064   258.523222      9.99    9.99    1.333    1656.197     258.523     481.708    1.3780440    1.3044540   -33.32212830663   31   1.00 
 1.2763    0.1283   -0.1617    0.0319    0.1418   23    96.62965174952    0.0570   -10.05935250996    0.0577   1111111111111111111       0.3201   0.0562       0.006   0.058       0.429   0.050      1.000   16.531410    0.000206   17.062876    0.005638   15.962727    0.004197   258.523222      9.99    9.99    1.333    1656.197     258.523     481.708    1.3780440    1.3044540   -33.32212830663   31   1.00 
-0.4516    2.5900    0.0150   -0.0239    0.0876   23    96.60040339975    0.0570   -10.01832549836    0.0577   1111111111111111111       0.3001   0.1014      -0.343   0.104       0.469   0.090      1.000   17.601743    0.000363   18.222557    0.014644   16.958112    0.009131   258.523222      9.99    9.99    1.333    1656.197     258.523     481.708    1.3780440    1.3044540   -33.32212830663   31   1.00 
