_x         _y     pmRApmDEcor   PlxpmRAcor   PlxpmDEcor   Nper   RA_ICRS     e_RA_ICRS      DE_ICRS   e_DE_ICRS               Source           Plx     e_Plx         pmRA   e_pmRA         pmDE   e_pmDE        RUWE         Gmag       e_Gmag        BPmag      e_BPmag        RPmag      e_RPmag         BPRP      RVDR2  e_RVDR2  E(BP/RP)          RFG         RFBP         RFRP           nueff         pscol       ELAT            Solved          Pmemb      
 0.0124    2.2432    0.0551   -0.1298   -0.1504   23   216.91751323518    0.0472   -59.99040185751    0.0525   1111111111111111111       0.3721   0.0641      -4.904   0.066      -2.795   0.057      1.000   16.783500    0.000234   17.550802    0.008272   16.035180    0.004365   296.301604      9.99    9.99    1.361    2008.337     296.302     567.831    1.3959498    1.2894565   -42.48688431827   31   1.00 
 0.0597   -0.4119    0.2706   -0.0188   -0.0442   23   216.91909049424    0.0472   -60.03464887541    0.0525   1111111111111111111       0.3268   0.0118      -4.806   0.012      -2.916   0.010      1.000   12.049125    0.000025   12.275883    0.000348   11.800467    0.000396   296.301604      9.99    9.99    1.361    2008.337     296.302     567.831    1.3959498    1.2894565   -42.48688431827   31   1.00 
-0.7462    0.3390    0.0939   -0.0801    0.0317   23   216.89220795805    0.0472   -60.02213176959    0.0525   1111111111111111111       0.2775   0.0277      -5.125   0.029      -3.103   0.025      1.000   15.073245    0.000101   15.478435    0.001851   14.633105    0.001723   296.301604      9.99    9.99    1.361    2008.337     296.302     567.831    1.3959498    1.2894565   -42.48688431827   31   1.00 
-0.0581    0.1621    0.1231   -0.3573    0.0532   23   216.91516189268    0.0472   -60.02508081485    0.0525   1111111111111111111       0.3510   0.0118      -4.943   0.012      -2.868   0.010      1.000   10.927181    0.000024   11.128072    0.000211   10.707700    0.000245   296.301604      9.99    9.99    1.361    2008.337     296.302     567.831    1.3959498    1.2894565   -42.48688431827   31   1.00 
 1.0089    0.1179    0.1520   -0.2263   -0.1270   23   216.95075640696    0.0472   -60.02581413179    0.0525   1111111111111111111       0.3299   0.0365      -4.999   0.038      -2.878   0.032      1.000   15.659665    0.000134   16.197151    0.002969   15.086052    0.002283   296.301604      9.99    9.99    1.361    2008.337     296.302     567.831    1.3959498    1.2894565   -42.48688431827   31   1.00 
 0.6170    1.1065    0.1079   -0.1025   -0.0254   23   216.93767253576    0.0472   -60.00934073502    0.0525   1111111111111111111       0.3959   0.0293      -4.710   0.030      -3.089   0.026      1.000   15.190702    0.000107   15.629115    0.002033   14.717599    0.001812   296.301604      9.99    9.99    1.361    2008.337     296.302     567.831    1.3959498    1.2894565   -42.48688431827   31   1.00 
 1.3133   -2.0105    0.2041   -0.1530   -0.0663   23   216.96095764206    0.0472   -60.06128998418    0.0525   1111111111111111111       0.3758   0.1073      -4.729   0.110      -2.772   0.095      1.000   17.695655    0.000383   18.604888    0.020261   16.857535    0.008234   296.301604      9.99    9.99    1.361    2008.337     296.302     567.831    1.3959498    1.2894565   -42.48688431827   31   1.00 
-0.5853    0.1855    0.1179   -0.1296    0.0150   23   216.89757283161    0.0472   -60.02469113134    0.0525   1111111111111111111       0.3639   0.0233      -4.802   0.024      -2.915   0.021      1.000   14.686685    0.000084   15.026931    0.001412   14.317540    0.001432   296.301604      9.99    9.99    1.361    2008.337     296.302     567.831    1.3959498    1.2894565   -42.48688431827   31   1.00 
-0.0943   -0.4108   -0.0218   -0.2129   -0.1162   23   216.91395267746    0.0472   -60.03462991413    0.0525   1111111111111111111       0.2845   0.0118      -5.028   0.012      -2.972   0.010      1.000   12.744109    0.000034   12.993285    0.000489   12.469833    0.000546   296.301604      9.99    9.99    1.361    2008.337     296.302     567.831    1.3959498    1.2894565   -42.48688431827   31   1.00 
 0.0816    0.1928    0.0815   -0.0412    0.0541   23   216.91982130597    0.0472   -60.02456922454    0.0525   1111111111111111111       0.3997   0.0118      -4.924   0.012      -2.832   0.010      1.000   11.920389    0.000024   12.144495    0.000327   11.673744    0.000373   296.301604      9.99    9.99    1.361    2008.337     296.302     567.831    1.3959498    1.2894565   -42.48688431827   31   1.00 
