_x         _y     pmRApmDEcor   PlxpmRAcor   PlxpmDEcor   Nper   RA_ICRS     e_RA_ICRS      DE_ICRS   e_DE_ICRS               Source           Plx     e_Plx         pmRA   e_pmRA         pmDE   e_pmDE        RUWE         Gmag       e_Gmag        BPmag      e_BPmag        RPmag      e_RPmag         BPRP      RVDR2  e_RVDR2  E(BP/RP)          RFG         RFBP         RFRP           nueff         pscol       ELAT            Solved          Pmemb      
 0.0889   -1.0990    0.0481    0.2918   -0.1256   23   168.71056581923    0.0548   -60.59377091459    0.0519   1111111111111111111       0.3872   0.0157      -6.151   0.016       1.421   0.014      1.000   13.759319    0.000055   14.037229    0.000823   13.457077    0.000896   275.674097      9.99    9.99    1.345    1763.875     275.674     463.203    1.4274720    1.4094322   -56.86612020685   31   1.00 
 0.3563   -0.9643    0.0142    0.2158    0.0784   23   168.71964319149    0.0548   -60.59152407396    0.0519   1111111111111111111       0.2701   0.0206      -5.970   0.021       0.870   0.018      1.000   14.407998    0.000074   14.732248    0.001194   14.055173    0.001234   275.674097      9.99    9.99    1.345    1763.875     275.674     463.203    1.4274720    1.4094322   -56.86612020685   31   1.00 
-1.2120    0.5628    0.0493    0.1454    0.0312   23   168.66644261934    0.0548   -60.56606796434    0.0519   1111111111111111111       0.3472   0.0460      -5.906   0.047       1.083   0.041      1.000   16.136829    0.000169   16.726859    0.004353   15.516320    0.003041   275.674097      9.99    9.99    1.345    1763.875     275.674     463.203    1.4274720    1.4094322   -56.86612020685   31   1.00 
 0.5085   -1.7100    0.1935    0.2146    0.1455   23   168.72481605511    0.0548   -60.60395410415    0.0519   1111111111111111111       0.3976   0.0319      -5.991   0.033       1.016   0.028      1.000   15.374275    0.000117   15.773368    0.002232   14.942941    0.002086   275.674097      9.99    9.99    1.345    1763.875     275.674     463.203    1.4274720    1.4094322   -56.86612020685   31   1.00 
 0.5906    0.1434    0.0340    0.1566    0.1111   23   168.72758317730    0.0548   -60.57306157885    0.0519   1111111111111111111       0.3286   0.0208      -6.328   0.021       1.103   0.018      1.000   14.425861    0.000075   14.746930    0.001203   14.078095    0.001250   275.674097      9.99    9.99    1.345    1763.875     275.674     463.203    1.4274720    1.4094322   -56.86612020685   31   1.00 
 0.6590   -0.1007    0.3310    0.1033   -0.0396   23   168.72990524277    0.0548   -60.57712992643    0.0519   1111111111111111111       0.3798   0.0237      -6.128   0.024       1.247   0.021      1.000   14.724994    0.000086   15.068451    0.001446   14.353148    0.001461   275.674097      9.99    9.99    1.345    1763.875     275.674     463.203    1.4274720    1.4094322   -56.86612020685   31   1.00 
 0.6296    0.4283    0.3065    0.1132    0.0779   23   168.72890134368    0.0548   -60.56831215299    0.0519   1111111111111111111       0.2847   0.0239      -5.973   0.025       0.904   0.021      1.000   14.741422    0.000087   15.086109    0.001461   14.368254    0.001474   275.674097      9.99    9.99    1.345    1763.875     275.674     463.203    1.4274720    1.4094322   -56.86612020685   31   1.00 
-0.3022   -0.7069    0.1298    0.1043   -0.0014   23   168.69729107034    0.0548   -60.58723439300    0.0519   1111111111111111111       0.3542   0.0186      -5.895   0.019       1.144   0.017      1.000   14.174885    0.000066   14.510923    0.001056   13.811241    0.001079   275.674097      9.99    9.99    1.345    1763.875     275.674     463.203    1.4274720    1.4094322   -56.86612020685   31   1.00 
 0.9493   -2.0674    0.2916    0.1386    0.1111   23   168.73978832950    0.0548   -60.60991033016    0.0519   1111111111111111111       0.3246   0.0465      -6.241   0.048       1.328   0.041      1.000   16.159653    0.000171   16.785333    0.004541   15.512154    0.003025   275.674097      9.99    9.99    1.345    1763.875     275.674     463.203    1.4274720    1.4094322   -56.86612020685   31   1.00 
-0.6549   -0.3255    0.0734    0.2753    0.0261   23   168.68532575247    0.0548   -60.58087638503    0.0519   1111111111111111111       0.4852   0.0242      -5.976   0.025       1.041   0.022      1.000   14.770760    0.000088   15.119055    0.001490   14.393045    0.001495   275.674097      9.99    9.99    1.345    1763.875     275.674     463.203    1.4274720    1.4094322   -56.86612020685   31   1.00 
